comedies,tragedies,histories
alls well that ends well,antony and cleopatra,"henry iv part 1"
as you like it,coriolanus,"henry iv part 2"
the comedy of errors,cymbeline,henry v
love's labour's lost,hamlet,"henry vi part 1"
measure for measure,julius caesar,"henry vi part 2"
the merchant of venice,king lear,"henry vi part 3"
the merry wives of windsor,macbeth,henry viii
a midsummer night's dream,othello,king john
much ado about nothing,romeo and juliet,richard ii
"pericles",timon of athens,richard iii
the taming of the shrew,titus andronicus,
the tempest,troilus and cressida,
twelfth night,,
the two gentlemen of verona,,
the winter's tale,,
